Mold,Head,Pattern,Throat,Beam,Manufacturer,Name,Owned by Tommi,Tommi wants this,Year,DescriptionTommi,Description,Layup,Made in Austria,Designed in Austria,Info from,Image
Vacuum90,90,14x19,3,,Fischer,Vacuum Exclusive,0,0,1988,,Red,,1,0,,Other/Vacuum_Exclusive_90_14x19.jpg
Vacuum90,90,14x19,3,,Fischer,Vacuum SC,0,0,1988,,White,"""Less SiC than VP90""",1,0,,Other/Vacuum_SC_14x19.jpg
Vacuum90,90,16x20,3,,Fischer,Vacuum Exclusive,0,0,1989,,Red,,1,0,,Other/Vacuum_Exclusive_90_16x20.jpg
Vacuum90,90,16x20,3,,Fischer,Vacuum Ceramics,0,0,1990,,Dark Blue / yellow,,1,0,,Other/Vacuum_ceramics_16x20.jpg
Open_v1,90,14x19,3,22?,Fischer,Open Carbonic,0,0,1988,,Dark grey,Graphite composite,1,0,,Open/Open_Carbonic_14x19_MIA.jpg
Open_v1,90,14x19,3,22?,Fischer,Open Comp,0,0,1988,,Cyan blue,Graphite performance,1,0,,Open/Open_Comp_15x19.jpg
Open_v1,90,14x19,3,22?,Fischer,Open Graphite,0,0,1988,,Red,???,1,0,,Open/Open_Graphite.PNG
Open_v1,90,14x19,3,22?,Fischer,Open Lady,0,0,1988,,Cyan grey,Graphite performance,1,0,,Open/Open_Lady_14x19.jpg
Open_v1,90,14x19,3,22?,Fischer,Open Royal,0,0,1988,,Cyan blue,Graphite composite,1,0,,Open/Open_Royal_14x19.jpg
Open_v1,90,16x20,3,22?,Fischer,Open Drive,0,0,1990,,"Grey, cyan text",Graphite composite,1,0,,Open/Open_Drive_16x20.jpg
Open_v1,90,16x20,3,22?,Fischer,Open Pro,0,0,1990,,Dark purple,SiC Ceramics graphite,1,0,,Open/Open_Pro_16x20.jpg
Open_v1,90,16x20,3,22?,Fischer,Open Royal,0,0,1990,,Dark Blue / yellow,Graphite performance,1,0,,Open/Open_Royal_16x20.jpg
Open_v1,90,16x20,3,22?,Fischer,Open Ultra Light,0,0,1990,,"Pink, white+blue",,1,0,,Open/Open_UltraLight_16x20.jpg
Open_v1,90,,3,22?,Fischer,Open Match,0,0,1990,,Light blue/withe,,1,0,,Open/Open_Match.jpg
Open_v2+,90,16x20,3,,Fischer,Open,1,0,1991,"I got this frame as Christmas present in 1992. Not my favorites, at all.",Green,Graphite performance,1,0,,Open/Open.JPG
Open_v2+,90,16x20,3,,Fischer,Open,0,0,1991,,Green,Graphite performance,1,0,,Open/Open_graPerf_MIA.jpg
Open_v2+,90,16x20,3,,Fischer,Open 2,0,0,1991,,91 color,,1,0,,Open/Fischer_Open_2__Charly_Steeb__Graphite_Performance_teniszuto_897232248457190.jpg
Open_v2+,90,16x20,3,,Fischer,Open 2,0,0,1991,,Dark purple / yellow,Graphite performance,1,0,,Open/Open_2b.jpg
Open_v2+,90,16x20,3,,Fischer,Open ????,0,0,1992,,"Purple textured, white",,0,1,,Open/Open_joku.jfif
Open_v2+,90,16x20,3,,Fischer,Open Ceramics,0,0,1992,,Black and yellow,Graphite performance,0,1,,Open/Open_Ceramics_DIA.jpg
Open_v2+,90,16x20,3,,Fischer,Open Explosion,0,0,1992,,Dark purple / white,,0,1,,Open/Open_Explosion.JPG
Open_v2+,90,16x20,3,,Fischer,Open Fun,0,0,1992,,Dark blue,Graphite performance,0,0,,Open/Open_FUn.jpg
Open_v2+,90,16x20,3,,Fischer,Open Fun,0,0,1992,,"Pink textured, white",Graphite performance,0,1,,Open/Open_Fun_DIA.jpg
Open_v2+,90,16x20,3,,Fischer,Open Trend,0,0,1992,,Dark blue and white,Graphite performance,0,1,,Open/OpenTrend_DIA_DarkBlue_WhiteHoop.PNG
Open_v2+,90,16x20,3,,Fischer,Open Action,0,0,1993,,Black,,0,0,,Open/Open_Action_1993.jpg
Open_v2+,90,16x20,3,,Fischer,Open Mid Plus ???,0,0,1993,,Black,,0,0,,Open/Open_mid_plus_1993retro.jpg
Open_v2+,98,16x20,3,,Fischer,Open Graphite Mid Plus,0,0,1994,,"Black, purple",Graphite,0,0,,Open/Open_Graphite_MidPLus_93.jpg
Open_v2+,98,16x20,3,,Fischer,Open Graphite Mid Plus,0,0,1995,,"Black, purple",Graphite,0,0,,Open/Open_Graphite_MidPLus_94ish.jpg
Open_v2+,98,16x20,3,,Fischer,Open Graphite Mid Plus,0,0,1996,,Dark purple,Graphite,0,0,,Open/Open_Graphite_MidPLus_95ish.jpg
Elliptic_4x,98,16x20,4,,Fischer,Vacuum Elliptic Pro,0,0,1993,,"Fishnet,purple/blue/yellow/Purple text (White Pro, strange Vacuum)",SiC Ceramics graphite,0,0,,Elliptic/1993_Vacuum_Elliptic_Pro.jpg
Elliptic_4x,98,16x20,4,,Fischer,Elliptic Comp,0,0,1994,,"Grey/dark/purple, patterns",SiC Ceramics graphite,0,0,,Elliptic/1995_Elliptic_Comp_4x.jpg
Elliptic_4x,98,16x20,4,,Fischer,Elliptic Graphite Pro,0,0,1994,,"Gold, green, purple, black",Graphite composite,0,0,,Elliptic/1994_Elliptic_Pro.jpg
Elliptic_4x,98,16x20,4,,Fischer,Elliptic Kevlar,0,0,1994,,White/Pink,Kevlar graphite,0,0,,Elliptic/1994_Elliptic_Kevlar.jpg
Elliptic_4x,98,16x20,4,,Fischer,Vacuum Elliptic Pro,0,0,1994,,"Fishnet,purple/blue/yellow text ( strange Vacuum)",,0,0,,Elliptic/1994_Vacuum_Elliptic_Pro.jpg
